STAR_ID_g,RA_g,DEC_g,MEDIAN_g,MEAN_g,CLIPPED_MEAN_g,CLIPPED_SIGMA_g,N_NOTCLIPPED_g,RESIDUALS_g,CLIPPED_MEAN_ERROR_g,STAR_ID_r,RA_r,DEC_r,MEDIAN_r,MEAN_r,CLIPPED_MEAN_r,CLIPPED_SIGMA_r,N_NOTCLIPPED_r,RESIDUALS_r,CLIPPED_MEAN_ERROR_r,STAR_ID_i,RA_i,DEC_i,MEDIAN_i,MEAN_i,CLIPPED_MEAN_i,CLIPPED_SIGMA_i,N_NOTCLIPPED_i,RESIDUALS_i,CLIPPED_MEAN_ERROR_i,STAR_ID_z,RA_z,DEC_z,MEDIAN_z,MEAN_z,CLIPPED_MEAN_z,CLIPPED_SIGMA_z,N_NOTCLIPPED_z,RESIDUALS_z,CLIPPED_MEAN_ERROR_z,STAR_ID_Y,RA_Y,DEC_Y,MEDIAN_Y,MEAN_Y,CLIPPED_MEAN_Y,CLIPPED_SIGMA_Y,N_NOTCLIPPED_Y,RESIDUALS_Y,CLIPPED_MEAN_ERROR_Y
583,29.6988544286,0.550179142857,14.8727,14.8754428571,14.8754428571,0.00930128365071,7,0.00833469387755,0.00351555477335,788,29.6988647143,0.550149714286,14.3553,14.3581428571,14.3581428571,0.0102211066137,7,0.00880408163265,0.00386321517481,1988,29.6988728571,0.550144571429,14.1825,14.1866428571,14.1866428571,0.00785163443273,7,0.00719183673469,0.00296763887063,240,29.6988698571,0.550151285714,14.1414,14.1349142857,14.1349142857,0.0163095439694,7,0.0155551020408,0.00616442819142,1296,29.6988758889,0.550148222222,14.1519,14.1530777778,14.1530777778,0.00749663298907,9,0.00555308641975,0.00249887766302
584,29.6945305,0.5611465,20.0931,20.0931,20.0931,0.0341,2,0.0341,0.0241123412385,789,29.6945788571,0.561093714286,18.4762,18.4768,18.4768,0.0275454948352,7,0.0196571428571,0.0104112184392,1989,29.6945841429,0.561082571429,17.3999,17.3881428571,17.3881428571,0.0215327562527,7,0.0184367346939,0.00813861686947,241,29.6945794286,0.561085714286,16.8135,16.8187142857,16.8187142857,0.0135394058291,7,0.0127020408163,0.00511741438904,1297,29.6945868889,0.561087777778,16.5821,16.5852111111,16.5852111111,0.0115711753407,9,0.00845925925926,0.0038570584469
585,29.684491,0.530544,16.299,16.2989142857,16.2989142857,0.00689998521146,7,0.0052693877551,0.00260794927422,790,29.6845081429,0.530516571429,15.7628,15.7670571429,15.7670571429,0.0102978301657,7,0.00883673469388,0.00389221395173,1990,29.6845157143,0.530508428571,15.5765,15.5708142857,15.5708142857,0.0143836642035,7,0.0124081632653,0.00543651406061,242,29.6845147143,0.530523,15.4824,15.4788857143,15.4788857143,0.0159633892366,7,0.0146734693878,0.00603359400024,1298,29.6845197778,0.530518888889,15.5102,15.5058333333,15.5058333333,0.0094877699054,9,0.008,0.00316258996847
586,29.6777557143,0.627296285714,18.2419,18.2421142857,18.2421142857,0.0195103217057,7,0.0150734693878,0.00737420846175,791,29.6777615714,0.627266,17.6845,17.6855142857,17.6855142857,0.00937434623571,7,0.0075306122449,0.00354316983479,1991,29.677765,0.627264571429,17.458,17.4653285714,17.4653285714,0.0208878443315,7,0.0172612244898,0.00789486307505,243,29.6777641429,0.627272857143,17.3437,17.3447,17.3447,0.0224106479794,7,0.0160857142857,0.00847042875333,1299,29.6777707778,0.627265666667,17.3385,17.3379888889,17.3379888889,0.0186002654966,9,0.0148790123457,0.00620008849886
587,29.6716116,0.5927148,19.3714,19.37714,19.37714,0.0237529450806,5,0.021968,0.0106226399732,792,29.6716248,0.5926736,19.0963,19.10086,19.10086,0.0257829090678,5,0.021712,0.0115304674667,1992,29.6716388,0.5926744,19.0106,18.99252,18.99252,0.0432045090239,5,0.036296,0.0193216438224,1378,29.671641,0.5926925,19.0066,18.991025,18.991025,0.0505845023204,4,0.040925,0.0252922511602,2613,29.671645,0.5926875,19.08965,19.08965,19.08965,0.01395,2,0.01395,0.00986413959755
588,29.658114,0.6046972,19.1594,19.14604,19.14604,0.0324878192558,5,0.030552,0.0145289944594,794,29.658127,0.604658714286,18.4275,18.4284714286,18.4284714286,0.0172517257344,7,0.0151387755102,0.00652053942572,1994,29.6581253333,0.604650333333,18.1471,18.1494833333,18.1494833333,0.0187373438767,6,0.0162166666667,0.00764948860552,245,29.6581208333,0.6046585,17.93905,17.9459833333,17.9459833333,0.0268818040483,6,0.02365,0.0109744505473,1301,29.658125875,0.604655125,17.93205,17.9375875,17.9375875,0.0170822596207,8,0.01328125,0.0060394908079
589,29.6506634286,0.508445714286,16.5071,16.5093285714,16.5093285714,0.00923498229339,7,0.0082612244898,0.00349049521577,795,29.650675,0.508417,16.0832,16.0833,16.0833,0.00715302133967,7,0.00494285714286,0.00270358794107,1995,29.6506855714,0.508411714286,15.9426,15.9428714286,15.9428714286,0.0171140472199,7,0.0119102040816,0.00646850183852,246,29.6506825714,0.508420714286,15.8931,15.8912428571,15.8912428571,0.0114193891684,7,0.00932244897959,0.00431612340913,1302,29.6506907778,0.508418,15.9398,15.9316333333,15.9316333333,0.0161010696677,9,0.0152518518519,0.00536702322257
590,29.6456651429,0.563802571429,17.6305,17.6252285714,17.6252285714,0.0131359609237,7,0.0106530612245,0.00496492654798,796,29.6456765714,0.563784428571,17.3649,17.3580857143,17.3580857143,0.0181060706924,7,0.0168734693878,0.00684345146752,1996,29.6456882857,0.563780428571,17.2558,17.2430428571,17.2430428571,0.0186062091896,7,0.0157959183673,0.00703248605106,1379,29.645686,0.5637908,17.2474,17.25376,17.25376,0.012011094871,5,0.011352,0.00537152492315,1303,29.6456876667,0.563791555556,17.3168,17.3152888889,17.3152888889,0.0157449423586,9,0.0125925925926,0.00524831411954
591,29.6410024286,0.555598285714,17.335,17.3357142857,17.3357142857,0.0102141958038,7,0.00701632653061,0.0038606031342,797,29.6410154286,0.555572285714,16.8707,16.8734714286,16.8734714286,0.00885223366255,7,0.00745306122449,0.00334582983122,1997,29.6410241429,0.555575,16.6918,16.6924714286,16.6924714286,0.0164823467717,7,0.0118530612245,0.00622974151151,247,29.6410197143,0.555581,16.6254,16.6241571429,16.6241571429,0.0101422535032,7,0.00813469387755,0.00383341150045,1304,29.6410313333,0.555579555556,16.6593,16.6561222222,16.6561222222,0.0128065762428,9,0.00921975308642,0.00426885874759
592,29.631748,0.519610666667,18.8793,18.8841833333,18.8841833333,0.0252694424597,6,0.0219833333333,0.0103162066851,798,29.6317496,0.5195916,18.9107,18.91386,18.91386,0.0206021940579,5,0.017712,0.00921358127983,1998,29.6317686,0.519576,18.9798,18.96464,18.96464,0.0370521038539,5,0.028696,0.0165702045853,1380,29.631757,0.51959925,19.0369,19.042175,19.042175,0.0291620794012,4,0.0228625,0.0145810397006,2424,29.6317736667,0.519596,19.131,19.1964666667,19.1964666667,0.0935755428636,3,0.0882222222222,0.0540258648619
593,29.6305947143,0.571017714286,14.8918,14.8930571429,14.8930571429,0.00780070640443,7,0.00649387755102,0.00294838988525,799,29.6306077143,0.570987,13.9548,13.9588285714,13.9588285714,0.0102725312343,7,0.00914693877551,0.00388265185443,1999,29.6306196,0.5709806,13.6052,13.60784,13.60784,0.0104501866012,5,0.009168,0.00467346552357,1381,29.6306172,0.5709886,13.4549,13.45148,13.45148,0.0105509051744,5,0.007912,0.00471850823884,1305,29.6306244444,0.570989444444,13.369,13.3668777778,13.3668777778,0.0100938680811,9,0.00882469135802,0.00336462269371
